UC1,UC2,UC3,UC4,IUC
60.000000,19.526509,24.846143,19.811925,40.697429
61.000000,21.326053,28.374324,21.532718,33.058274
59.500000,23.627293,27.242380,21.721257,41.848488
55.500000,24.495913,29.783549,22.054076,40.472256
60.000000,23.859403,30.203157,21.686722,42.624880
56.000000,26.321786,29.029403,22.265308,40.936083
58.500000,23.571921,30.663979,22.136785,41.978781
64.000000,22.838425,29.465159,21.931840,34.558856
67.500000,24.849863,34.000724,23.141970,37.373139
60.500000,22.449988,31.890085,21.869871,34.177486
57.500000,25.198063,27.348425,21.979887,41.171063
64.000000,26.375186,33.434684,23.637395,45.907877
58.000000,21.061955,26.456664,20.917568,40.406031
65.000000,21.490002,29.103933,21.929493,34.380857
59.000000,21.744736,26.986658,20.715097,41.074415
58.000000,24.203851,28.259993,21.525132,41.331496
61.000000,22.349879,27.944680,21.141263,42.405970
53.500000,21.404153,28.642431,20.350773,38.482893
59.500000,19.723638,29.100879,21.510862,32.458845
54.000000,21.856655,28.240409,20.963712,38.843463
61.500000,21.397139,30.149757,20.972168,33.504766
57.500000,19.380939,28.363020,20.586264,31.457556
61.500000,20.875327,27.722111,20.819497,32.729234
60.500000,23.079938,28.930210,21.363405,42.478925
57.500000,22.652917,25.996213,20.876238,40.337561
61.500000,23.851986,32.408438,22.124075,43.814083
57.000000,17.597061,27.985144,19.572594,30.538700
57.000000,24.261541,27.023557,20.931244,40.536057
62.000000,23.672783,30.539904,22.579075,43.798627
59.000000,18.516465,28.733156,20.312310,31.640483
56.500000,22.151953,29.033861,20.725874,40.235281
64.000000,22.952403,29.298896,21.930438,44.363623
59.500000,28.455438,31.103509,22.518801,43.429625
59.000000,22.331135,28.604339,20.876593,41.468678
54.500000,19.456402,25.093750,19.898197,37.991391
53.500000,18.311783,25.387599,19.524347,29.180932
61.500000,29.003887,30.466867,22.829857,44.466769
59.000000,19.442261,29.126454,20.308600,31.969329
62.000000,27.700020,30.491494,22.756102,44.491269
62.500000,20.811126,25.433527,20.865840,42.435082
65.000000,27.212289,29.471929,22.726503,45.735120
60.000000,20.154538,26.307392,20.549308,41.168540
55.500000,20.171655,24.547838,20.164832,38.564054
59.000000,23.348173,29.606697,21.716498,41.945228
62.000000,24.944547,30.078872,22.245110,43.878088
59.500000,24.634043,27.439748,21.682034,42.042638
59.500000,20.663544,28.626397,20.953953,32.435973
58.000000,21.275410,29.654673,21.687466,32.654387
58.000000,29.308921,32.005879,23.199664,43.085744
55.500000,27.725843,26.404430,21.589864,40.370023
58.500000,26.178569,28.926389,22.363934,42.161482
55.500000,20.082315,27.552363,20.350689,39.080895
61.500000,23.031065,32.329463,21.801864,34.665598
57.000000,23.890153,28.558886,21.689354,40.856399
57.000000,20.646919,27.029340,20.625112,39.883562
58.000000,21.777283,28.857699,21.612520,41.041251
55.500000,20.918964,29.317172,21.060092,31.699057
57.500000,25.610464,29.206603,22.248081,41.594191
56.000000,22.154095,27.928305,21.408529,39.915155
59.000000,21.551639,27.655682,20.763797,41.161853
55.500000,24.067033,25.402414,21.159690,39.521523
59.000000,22.061012,30.086716,21.197238,41.724161
57.500000,22.177109,28.816209,21.568939,40.843710
61.500000,28.301318,33.162136,23.452019,44.902579
58.500000,25.005921,24.629398,21.483190,41.103085
67.000000,24.526911,32.455402,23.094887,36.769300
61.500000,23.624471,28.402998,21.821282,43.058125
61.500000,22.662283,29.949866,21.373810,43.080993
59.000000,19.449656,27.658858,20.072114,31.545157
61.500000,25.952153,29.147665,21.716997,43.552803
59.000000,21.586031,27.159761,21.178480,41.154045
62.500000,25.100012,29.454914,22.020746,44.012612
59.000000,27.699487,30.074955,21.740974,42.752569
61.500000,18.817853,27.168346,20.280847,31.941761
63.500000,25.015428,31.453919,23.121374,45.015120
54.500000,23.148726,22.426805,20.388130,38.243943
60.000000,19.825139,27.686744,20.805859,32.079436
54.500000,20.656398,27.435418,20.185064,38.629480
