White noise,Positive bias,Negative bias
21.376391,20.890100,21.788204
21.431257,20.992732,21.825275
21.375459,20.942889,21.820988
21.399936,20.991286,21.852963
21.427501,20.967477,21.819013
21.377034,20.999815,21.818880
21.397722,20.940274,21.791673
21.408458,20.946052,21.799686
21.389715,21.014998,21.858121
21.368547,20.939159,21.776561
21.394122,21.003226,21.845173
21.436846,20.990824,21.838689
21.384442,20.947288,21.838648
21.422500,20.992835,21.848278
21.402965,21.006839,21.813979
21.408387,20.983001,21.855617
21.413840,20.963050,21.816654
21.398851,20.956832,21.778186
21.386255,20.959989,21.830661
21.381253,20.977885,21.857812
21.443935,20.985355,21.794110
21.361589,20.951853,21.863489
21.422292,20.992449,21.868651
21.354932,20.971875,21.805044
21.371631,20.945061,21.826762
21.406078,21.008009,21.895564
21.418655,20.983610,21.845282
21.393635,20.983096,21.818009
21.415113,21.002241,21.811446
21.418271,21.028361,21.803215
21.342853,20.982791,21.805731
21.358380,20.999701,21.816915
21.383017,20.999443,21.821030
21.431850,20.933549,21.795570
21.408688,20.955480,21.819624
21.440269,21.016667,21.824830
21.384822,20.925840,21.796129
21.446076,21.002037,21.834517
21.381041,20.966566,21.805605
21.391668,20.886848,21.862138
21.411674,20.970154,21.807444
21.408507,20.987180,21.818193
21.353047,20.914237,21.808714
21.411591,20.971914,21.826862
21.384344,20.979272,21.892541
21.447320,20.946668,21.778267
21.407489,21.004567,21.833470
21.438239,20.984118,21.854817
21.415787,20.994056,21.813323
21.396008,20.983193,21.813071
21.327451,21.009394,21.856672
21.400928,20.957259,21.810172
21.422939,20.965730,21.782246
21.442420,20.947883,21.858985
21.427235,21.018309,21.795402
21.420929,20.929575,21.790402
21.371490,20.968747,21.847541
21.400812,20.959595,21.873974
21.386453,20.962645,21.793854
21.407918,21.001501,21.838160
21.403620,20.942308,21.881628
21.384675,20.927117,21.838391
21.423714,20.911890,21.857938
21.376914,20.958518,21.863116
21.409661,21.001075,21.821500
21.421026,21.017908,21.781977
21.414496,20.985182,21.796704
21.381908,20.970086,21.871345
21.433524,21.009282,21.794683
21.429838,20.977427,21.811311
21.405961,20.980953,21.864546
21.375772,20.973994,21.816401
21.385029,20.956469,21.799287
21.392423,20.998097,21.817125
21.386968,20.976571,21.843508
21.378535,20.996691,21.822926
21.400977,20.962199,21.789109
21.396708,20.934467,21.806482
21.402076,20.949955,21.809228
21.380517,20.954779,21.871504
21.441903,20.969051,21.798273
21.409420,21.007498,21.803102
21.363418,21.035072,21.850486
21.389590,20.966281,21.833982
21.367202,20.954467,21.834538
21.400195,20.961127,21.813341
21.393664,20.951271,21.838565
21.357490,20.930010,21.832962
21.404659,20.953760,21.866611
21.419983,20.965721,21.772289
21.463667,20.959944,21.787238
21.375755,20.947088,21.817442
21.407323,20.945405,21.801949
21.376753,20.950558,21.877486
21.424194,20.927449,21.804721
21.383634,20.946998,21.861809
21.386653,20.968906,21.837084
21.368447,20.985391,21.838232
21.384749,20.922905,21.773917
21.440106,20.941967,21.826156
21.438824,20.999426,21.827697
21.417181,20.962610,21.855027
21.374656,21.006740,21.855352
21.399076,20.991481,21.837026
21.402012,20.974929,21.835747
21.368193,20.970717,21.851436
21.394598,20.956418,21.777381
21.416512,20.941087,21.811102
21.421322,20.972677,21.808993
21.325733,20.943740,21.842925
21.379451,20.955851,21.831156
21.402199,21.014518,21.838489
21.359556,21.005630,21.844718
21.370324,20.992970,21.827046
21.408280,20.935457,21.808594
21.424032,20.979269,21.872550
21.386308,20.984166,21.837613
21.376933,21.018027,21.857139
21.421820,20.984178,21.817726
21.355384,20.932927,21.866753
21.445471,20.973012,21.817314
21.394815,20.978250,21.829614
21.423159,20.978931,21.848686
21.415092,20.971347,21.828919
21.404707,20.999627,21.848880
21.441692,20.981111,21.785135
21.412829,20.991547,21.816561
21.352789,20.969115,21.817754
21.406248,20.989163,21.864969
21.366078,21.017761,21.865309
21.445549,20.980898,21.847054
21.396872,20.977504,21.821192
21.406698,20.923076,21.895075
21.365326,21.037212,21.828183
21.401969,21.003037,21.795012
21.412290,20.953557,21.837071
21.393177,20.953554,21.797190
21.382344,20.957808,21.826535
21.383278,20.952386,21.862150
21.400992,20.945503,21.867892
21.412690,20.969707,21.878334
21.362201,20.999425,21.786551
21.426785,20.981248,21.859612
21.415294,20.930490,21.816397
21.379667,21.001430,21.834962
21.359417,20.990103,21.866025
21.390305,20.962593,21.836305
21.391355,20.979146,21.861410
21.386382,20.988360,21.849128
21.430551,21.024544,21.813927
21.419376,20.978959,21.856697
21.404322,20.896695,21.834944
21.410013,20.992477,21.846156
21.367980,20.965239,21.817143
21.410407,20.985643,21.804162
21.360979,20.895037,21.782276
21.419041,21.035379,21.873043
21.394765,20.950698,21.777961
21.437933,20.951301,21.805582
21.442752,21.041297,21.868516
21.435022,20.991489,21.800418
21.426721,20.952053,21.824943
21.353168,20.926107,21.772427
21.388381,20.934557,21.830576
21.397747,20.965515,21.822363
21.403106,20.943817,21.843664
21.382199,20.993458,21.805205
21.371837,20.924167,21.888800
21.375952,20.979038,21.775895
21.353289,20.955386,21.854811
21.410734,20.985491,21.822441
21.395439,20.919151,21.775472
21.365459,20.984801,21.796034
21.412803,20.973855,21.835597
21.363788,20.989611,21.831568
21.375283,20.947523,21.827755
21.385902,20.985421,21.834140
21.417505,20.931234,21.835417
21.403738,20.976058,21.833525
21.386775,21.025676,21.749981
21.401767,20.981398,21.835958
21.386991,20.950412,21.826670
21.351533,20.940516,21.833733
21.398710,20.952198,21.839543
21.456923,20.992789,21.823001
21.357087,20.938789,21.786075
21.405193,20.938154,21.800855
21.399284,20.997320,21.880877
21.379306,20.945858,21.825170
21.392799,20.993644,21.833282
21.426954,20.976512,21.821866
21.391992,20.991294,21.823735
21.399326,20.947403,21.812101
21.376257,20.955454,21.760427
21.394682,20.975557,21.822361
21.372534,20.928850,21.837801
21.380854,20.981639,21.791688
21.451440,20.978943,21.854988
21.414263,20.992593,21.844378
21.394912,20.979938,21.785539
21.353870,20.987241,21.805445
21.429144,20.991177,21.839321
21.352604,20.934181,21.814322
21.432004,21.007465,21.824351
21.356859,20.990205,21.819042
21.424331,20.966875,21.805617
21.403737,20.995510,21.772424
21.388896,20.954679,21.848573
21.376026,21.025182,21.744416
21.402042,20.971527,21.764905
21.405404,21.007177,21.797487
21.357504,20.988636,21.827941
21.416550,21.000112,21.832219
21.435036,21.011273,21.814132
21.401497,21.001719,21.811934
21.427931,20.954913,21.822598
21.407156,20.950355,21.837707
21.419588,20.955302,21.861781
21.422954,21.025062,21.793823
21.381905,20.999348,21.777962
21.396098,20.977362,21.828010
21.437861,20.982603,21.844814
21.418503,21.022539,21.851487
21.449299,20.980604,21.870258
21.410268,20.942367,21.872186
